month_year,sun_ratio_brooklyn,sun_ratio_berlin
2015-07,0.8301405834999993,0.7531493791803608
2015-08,0.8070978715584498,0.808158656064102
2015-09,0.7734576423206712,0.7313616649993542
2015-10,0.6923219404148218,0.4607312433526461
2015-11,0.6268173119458772,0.4004540413455869
2015-12,0.46547684293410285,0.3994942981936088
2016-01,0.7101697718180904,0.33730103132519795
2016-02,0.6090691672581771,0.501153327227661
2016-03,0.7451766798367084,0.4990654417270167
2016-04,0.7137146633048667,0.7153596331526063
2016-05,0.5619640943176246,0.7431727048483966
2016-06,0.7689071384726055,0.7174649566777529
2016-07,0.7841189707216456,0.6794330391213236
2016-08,0.8216842995659567,0.7096277554586277
2016-09,0.6678664780818889,0.7589115859315471
2016-10,0.6687225952527556,0.3894483684345244
2016-11,0.7152786921536369,0.4283455768120792
2016-12,0.6020528345019506,0.3258024440935473
2017-01,0.4903765425362085,0.3656945625952256
2017-02,0.7189877579678416,0.4355573947486778
2017-03,0.6246737789352342,0.5691766769850222
2017-04,0.5960820154196903,0.6431801309869343
2017-05,0.6053668769898513,0.5758057839899678
2017-06,0.7378939600490896,0.6046277178330072
2017-07,0.6957028511719224,0.6261077961955955
2017-08,0.7148397558845608,0.6989113063591184
2017-09,0.7641278232081952,0.6286253831775394
2017-10,0.6386919449009418,0.4397004093427333
2017-11,0.6546273938110434,0.35601612035557195
2017-12,0.6104680313947591,0.27825450314202754
2018-01,0.6305381168278389,0.35324789776445203
2018-02,0.47417789933345006,0.6209591417774892
2018-03,0.6228153142490647,0.4717962517059277
2018-04,0.5862556292448082,0.7451085411425172
2018-05,0.5546103438609972,0.8218369978575926
2018-06,0.6940551959092467,0.7154974522788398
2018-07,0.7413471925491445,0.7811320131748071
2018-08,0.7292040707197351,0.7965178874595723
2018-09,0.5510135826861772,0.7318540682518012
2018-10,0.6384613133401328,0.6500458366599212
2018-11,0.5628437815320598,0.45054048381947365
2018-12,0.5779183318848524,0.20795857357518685
2019-01,0.6281794610118812,0.3724866858827673
2019-02,0.6326440013498541,0.5899590609354701
2019-03,0.7003303243043469,0.4339721021833096
2019-04,0.610509435319372,0.7221453169525116
2019-05,0.6260650624147183,0.5860571977637389
2019-06,0.7076860999548794,0.8203119909732507
2019-07,0.80371882263074,0.6905610287834019
2019-08,0.7600725511887582,0.7754993845356734
2019-09,0.8295732683693975,0.6239640359972706
2019-10,0.5566683492090184,0.6005642402450945
2019-11,0.6665602797325677,0.3893861923298801
2019-12,0.5105565532420748,0.425453092324888
2020-01,0.6037455155177893,0.43496878677927325
2020-02,0.5687997124551668,0.4305867253910054
2020-03,0.6165977756514679,0.6338277412316876
2020-04,0.570340486511284,0.7907089485602788
2020-05,0.7479929383700226,0.6219341305655093
2020-06,0.8130100301314277,0.6640436197279119
2020-07,0.8086065609436358,0.6907461097848187
2020-08,0.7389056443706192,0.7092914336183924
2020-09,0.754463711962128,0.681636177922979
2020-10,0.5746645341032338,0.47652248743358433
2020-11,0.6590053963870945,0.49225253838207894
2020-12,0.5633903195221058,0.44315820088207325
2021-01,0.6579319906087966,0.2052665451696603
2021-02,0.4433286553891009,0.48443459506267417
2021-03,0.7335386933719015,0.5903100241625732
2021-04,0.6904945949608617,0.6261869425803152
2021-05,0.699000457553407,0.6713617563648812
2021-06,0.7657103422109298,0.7410642829946832
2021-07,0.7628807704057197,0.686039005713937
2021-08,0.6263232524714193,0.6402267344064666
2021-09,0.7646712704949634,0.6350217699842006
2021-10,0.6730387255594317,0.576002130885816
2021-11,0.7224335270110703,0.27861685654426827
2021-12,0.5747290392637717,0.1990246555562117
2022-01,0.5830366118714246,0.28500343955148405
2022-02,0.6439311775787685,0.4692841060759076
2022-03,0.6381740086214281,0.7140891077641097
2022-04,0.680421342613975,0.6022716747040021
2022-05,0.6257012147380178,0.7605505795600943
2022-06,0.7675484064067892,0.7819438089568733
2022-07,0.7931005321368735,0.7460243351774597
2022-08,0.8367147091466405,0.7112726413338545
2022-09,0.7427456669585649,0.7021071283033639
2022-10,0.6318868892420342,0.707639217729868
2022-11,0.7094984308026332,0.479275007995988
2022-12,0.6091022347982747,0.24949435261117728
2023-01,0.49518510213619044,0.2850150517334161
2023-02,0.6321659296731718,0.41619197901520716
2023-03,0.6177425397271344,0.521768675287124
2023-04,0.6652398139013382,0.5333367339563689
2023-05,0.8352980017927555,0.7574222521311345
2023-06,0.7255170253868702,0.7533333138647043
2023-07,0.7928963477009697,0.736413262644708
2023-08,0.7703795071611587,0.6614230817460697
2023-09,0.6258652000849133,0.8120579690175875
2023-10,0.707091790594088,0.44122643614025153
2023-11,0.7494864271236528,0.4657934703564688
2023-12,0.559284011806972,0.2723661454518647
2024-01,0.46090485822717925,0.364067565733715
2024-02,0.6986378123944846,0.35061829096676
2024-03,0.6161272856018691,0.6299379049299619
2024-04,0.639093873612696,0.6506927265361809
2024-05,0.6359029857678012,0.7584292050465617
2024-06,0.8361789620396745,0.7070270803185779
2024-07,0.7612022084155964,0.703808807513877
2024-08,0.767574960083351,0.7740557940746176
2024-09,0.6693935082213974,0.6864107794650987
2024-10,0.8739004100163141,0.5663104960691344
2024-11,0.7448742082063343,0.3327349999475178
2024-12,0.6305142989699991,0.19106810228126914
2025-01,0.7145648595064836,0.3420696637783514
2025-02,0.6127411737697331,0.5043262173296441
2025-03,0.7067666064307931,0.6962171890437632
2025-04,0.593277189315692,0.7292542900154839
2025-05,0.5775260510256572,0.7106887566887791
2025-06,0.6225046996014191,0.7625016774337562
