day,is_very_sunny_brooklyn,is_very_sunny_berlin,is_weekend
2024-06-26,True,True,False
2024-06-27,False,False,False
2024-06-28,True,True,False
2024-06-29,False,True,True
2024-06-30,False,False,True
2024-07-01,True,False,False
2024-07-02,True,False,False
2024-07-03,True,False,False
2024-07-04,True,False,False
2024-07-05,True,False,False
2024-07-06,True,False,True
2024-07-07,True,True,True
2024-07-08,True,False,False
2024-07-09,False,True,False
2024-07-10,True,True,False
2024-07-11,True,True,False
2024-07-12,False,False,False
2024-07-13,False,False,True
2024-07-14,True,True,True
2024-07-15,True,True,False
2024-07-16,True,False,False
2024-07-17,False,True,False
2024-07-18,False,True,False
2024-07-19,True,True,False
2024-07-20,False,True,True
2024-07-21,True,True,True
2024-07-22,False,False,False
2024-07-23,False,True,False
2024-07-24,False,True,False
2024-07-25,False,True,False
2024-07-26,True,False,False
2024-07-27,True,False,True
2024-07-28,False,False,True
2024-07-29,False,True,False
2024-07-30,True,True,False
2024-07-31,False,False,False
2024-08-01,True,True,False
2024-08-02,True,False,False
2024-08-03,True,True,True
2024-08-04,False,False,True
2024-08-05,True,False,False
2024-08-06,True,True,False
2024-08-07,False,True,False
2024-08-08,False,False,False
2024-08-09,False,False,False
2024-08-10,True,True,True
2024-08-11,True,True,True
2024-08-12,True,True,False
2024-08-13,True,True,False
2024-08-14,True,True,False
2024-08-15,True,True,False
2024-08-16,True,True,False
2024-08-17,False,True,True
2024-08-18,False,False,True
2024-08-19,False,False,False
2024-08-20,True,True,False
2024-08-21,True,True,False
2024-08-22,True,False,False
2024-08-23,True,False,False
2024-08-24,True,True,True
2024-08-25,True,False,True
2024-08-26,True,False,False
2024-08-27,True,True,False
2024-08-28,True,True,False
2024-08-29,False,True,False
2024-08-30,True,False,False
2024-08-31,True,False,True
2024-09-01,False,True,True
2024-09-02,True,True,False
2024-09-03,True,True,False
2024-09-04,True,True,False
2024-09-05,True,True,False
2024-09-06,True,True,False
2024-09-07,False,True,True
2024-09-08,True,True,True
2024-09-09,True,False,False
2024-09-10,True,False,False
2024-09-11,True,False,False
2024-09-12,True,False,False
2024-09-13,True,False,False
2024-09-14,True,True,True
2024-09-15,True,False,True
2024-09-16,True,False,False
2024-09-17,True,True,False
2024-09-18,False,True,False
2024-09-19,True,True,False
2024-09-20,True,True,False
2024-09-21,True,True,True
2024-09-22,True,True,True
2024-09-23,False,True,False
2024-09-24,False,False,False
2024-09-25,False,False,False
2024-09-26,False,False,False
2024-09-27,False,True,False
2024-09-28,False,True,True
2024-09-29,False,True,True
2024-09-30,False,True,False
2024-10-01,True,False,False
2024-10-02,False,False,False
2024-10-03,False,False,False
2024-10-04,True,True,False
2024-10-05,True,False,True
2024-10-06,True,False,True
2024-10-07,False,False,False
2024-10-08,True,False,False
2024-10-09,True,False,False
2024-10-10,True,False,False
2024-10-11,True,True,False
2024-10-12,True,False,True
2024-10-13,True,True,True
2024-10-14,True,False,False
2024-10-15,True,True,False
2024-10-16,True,True,False
2024-10-17,True,True,False
2024-10-18,True,True,False
2024-10-19,True,False,True
2024-10-20,True,False,True
2024-10-21,True,False,False
2024-10-22,True,False,False
2024-10-23,True,True,False
2024-10-24,True,False,False
2024-10-25,True,True,False
2024-10-26,True,False,True
2024-10-27,True,False,True
2024-10-28,True,False,False
2024-10-29,True,False,False
2024-10-30,True,False,False
2024-10-31,True,False,False
2024-11-01,False,False,False
2024-11-02,True,True,True
2024-11-03,True,True,True
2024-11-04,False,False,False
2024-11-05,True,False,False
2024-11-06,True,False,False
2024-11-07,True,False,False
2024-11-08,True,False,False
2024-11-09,True,True,True
2024-11-10,False,False,True
2024-11-11,True,False,False
2024-11-12,True,False,False
2024-11-13,True,False,False
2024-11-14,False,False,False
2024-11-15,True,False,False
2024-11-16,True,False,True
2024-11-17,True,False,True
2024-11-18,True,False,False
2024-11-19,True,False,False
2024-11-20,True,False,False
2024-11-21,False,False,False
2024-11-22,False,False,False
2024-11-23,True,False,True
2024-11-24,True,False,True
2024-11-25,True,False,False
2024-11-26,False,False,False
2024-11-27,True,False,False
2024-11-28,False,False,False
2024-11-29,False,False,False
2024-11-30,True,True,True
2024-12-01,True,True,True
2024-12-02,True,False,False
2024-12-03,True,False,False
2024-12-04,False,False,False
2024-12-05,False,False,False
2024-12-06,False,False,False
2024-12-07,True,False,True
2024-12-08,False,False,True
2024-12-09,False,False,False
2024-12-10,False,False,False
2024-12-11,False,False,False
2024-12-12,False,False,False
2024-12-13,True,False,False
2024-12-14,True,False,True
2024-12-15,False,False,True
2024-12-16,False,False,False
2024-12-17,False,False,False
2024-12-18,True,False,False
2024-12-19,False,False,False
2024-12-20,False,False,False
2024-12-21,False,False,True
2024-12-22,True,False,True
2024-12-23,True,False,False
2024-12-24,False,False,False
2024-12-25,False,False,False
2024-12-26,True,False,False
2024-12-27,True,False,False
2024-12-28,False,False,True
2024-12-29,False,False,True
2024-12-30,True,False,False
2024-12-31,True,False,False
2025-01-01,False,False,False
2025-01-02,True,False,False
2025-01-03,True,False,False
2025-01-04,True,False,True
2025-01-05,True,False,True
2025-01-06,False,False,False
2025-01-07,False,True,False
2025-01-08,True,False,False
2025-01-09,True,False,False
2025-01-10,True,False,False
2025-01-11,False,False,True
2025-01-12,True,False,True
2025-01-13,True,False,False
2025-01-14,True,False,False
2025-01-15,True,False,False
2025-01-16,False,False,False
2025-01-17,True,False,False
2025-01-18,False,False,True
2025-01-19,False,True,True
2025-01-20,True,False,False
2025-01-21,False,False,False
2025-01-22,True,False,False
2025-01-23,True,False,False
2025-01-24,True,False,False
2025-01-25,True,False,True
2025-01-26,True,False,True
2025-01-27,True,False,False
2025-01-28,True,False,False
2025-01-29,True,False,False
2025-01-30,True,False,False
2025-01-31,False,False,False
2025-02-01,False,False,True
2025-02-02,False,False,True
2025-02-03,True,False,False
2025-02-04,True,True,False
2025-02-05,False,False,False
2025-02-06,False,False,False
2025-02-07,True,False,False
2025-02-08,False,False,True
2025-02-09,False,True,True
2025-02-10,True,False,False
2025-02-11,False,True,False
2025-02-12,False,True,False
2025-02-13,False,False,False
2025-02-14,True,False,False
2025-02-15,False,False,True
2025-02-16,False,False,True
2025-02-17,True,True,False
2025-02-18,True,True,False
2025-02-19,True,True,False
2025-02-20,False,True,False
2025-02-21,True,False,False
2025-02-22,True,True,True
2025-02-23,True,False,True
2025-02-24,True,False,False
2025-02-25,False,False,False
2025-02-26,True,False,False
2025-02-27,False,False,False
2025-02-28,True,False,False
2025-03-01,True,False,True
2025-03-02,True,False,True
2025-03-03,True,True,False
2025-03-04,True,True,False
2025-03-05,False,True,False
2025-03-06,True,True,False
2025-03-07,True,True,False
2025-03-08,True,True,True
2025-03-09,True,True,True
2025-03-10,True,True,False
2025-03-11,True,False,False
2025-03-12,True,False,False
2025-03-13,True,False,False
2025-03-14,True,True,False
2025-03-15,False,False,True
2025-03-16,False,True,True
2025-03-17,False,True,False
2025-03-18,True,True,False
2025-03-19,True,True,False
2025-03-20,False,True,False
2025-03-21,True,True,False
2025-03-22,True,True,True
2025-03-23,True,False,True
2025-03-24,False,False,False
2025-03-25,True,True,False
2025-03-26,False,False,False
2025-03-27,True,False,False
2025-03-28,True,True,False
2025-03-29,True,False,True
2025-03-30,False,False,True
2025-03-31,False,False,False
2025-04-01,True,True,False
2025-04-02,False,True,False
2025-04-03,False,True,False
2025-04-04,False,True,False
2025-04-05,False,True,True
2025-04-06,False,True,True
2025-04-07,False,False,False
2025-04-08,True,False,False
2025-04-09,True,False,False
2025-04-10,False,False,False
2025-04-11,False,False,False
2025-04-12,False,True,True
2025-04-13,False,True,True
2025-04-14,False,True,False
2025-04-15,False,False,False
2025-04-16,False,True,False
2025-04-17,True,True,False
2025-04-18,False,False,False
2025-04-19,False,False,True
2025-04-20,True,True,True
2025-04-21,False,False,False
2025-04-22,True,False,False
2025-04-23,True,False,False
2025-04-24,True,False,False
2025-04-25,True,False,False
2025-04-26,False,True,True
2025-04-27,False,True,True
2025-04-28,True,True,False
2025-04-29,True,True,False
2025-04-30,True,True,False
2025-05-01,True,True,False
2025-05-02,True,False,False
2025-05-03,True,False,True
2025-05-04,False,False,True
2025-05-05,False,False,False
2025-05-06,False,False,False
2025-05-07,False,True,False
2025-05-08,True,False,False
2025-05-09,False,True,False
2025-05-10,True,False,True
2025-05-11,True,True,True
2025-05-12,True,True,False
2025-05-13,False,True,False
2025-05-14,False,True,False
2025-05-15,False,True,False
2025-05-16,False,False,False
2025-05-17,False,False,True
2025-05-18,True,False,True
2025-05-19,True,False,False
2025-05-20,True,True,False
2025-05-21,False,True,False
2025-05-22,False,False,False
2025-05-23,False,True,False
2025-05-24,True,False,True
2025-05-25,True,False,True
2025-05-26,True,False,False
2025-05-27,False,False,False
2025-05-28,False,False,False
2025-05-29,False,True,False
2025-05-30,False,False,False
2025-05-31,False,True,True
2025-06-01,False,False,True
2025-06-02,True,True,False
2025-06-03,True,True,False
2025-06-04,True,False,False
2025-06-05,True,False,False
2025-06-06,True,False,False
2025-06-07,False,True,True
2025-06-08,False,True,True
2025-06-09,False,True,False
2025-06-10,False,False,False
2025-06-11,True,False,False
2025-06-12,True,True,False
2025-06-13,True,True,False
2025-06-14,False,True,True
2025-06-15,False,False,True
